Sample_ID,Valid_Length,RMSD_Angstroms,Full_dRMSD,Helix_dRMSD,Sheet_dRMSD,GDT_TS,TM_Score,Q3_Accuracy,Top-L/2_Prec
0,20,3.9975,1.8249,0.1324,nan,0.4625,0.0530,0.5500,nan
1,17,0.9936,0.4787,0.0943,nan,0.8971,0.3902,0.4706,nan
2,20,6.4696,4.0177,0.0595,nan,0.3250,0.0152,0.3000,nan
3,20,3.8495,2.1351,0.6497,nan,0.5250,0.0703,0.4500,nan
4,16,7.4523,5.9297,nan,nan,0.3594,0.0324,0.1875,nan
5,20,9.4361,5.8065,nan,nan,0.2625,0.0205,0.4000,nan
6,20,3.0215,0.9424,0.1047,nan,0.6375,0.0856,0.4000,nan
7,15,5.5930,4.0058,0.6258,nan,0.3167,0.0000,0.4000,nan
8,15,0.3929,0.1897,0.1897,nan,1.0000,0.0000,1.0000,nan
9,19,2.4247,1.5211,0.4793,nan,0.7368,0.1864,0.5789,nan
10,20,4.6401,2.4141,nan,nan,0.4125,0.0311,0.0000,nan
11,20,4.7683,2.7614,nan,nan,0.3750,0.0224,0.5000,nan
12,20,6.7713,3.8445,1.1132,nan,0.2500,0.0092,0.3500,nan
13,20,7.2450,4.3402,nan,nan,0.2875,0.0302,0.4000,nan
14,20,4.7823,1.3970,0.8183,nan,0.3875,0.0220,0.2000,nan
15,17,1.6232,0.4815,0.1489,nan,0.8235,0.2409,0.7059,nan
16,20,12.2452,8.1683,nan,0.1080,0.0750,0.0036,0.5000,nan
17,20,5.6746,2.3658,nan,0.7882,0.3625,0.0297,0.5000,nan
18,19,9.8074,4.5832,nan,nan,0.2237,0.0097,0.3158,nan
19,19,3.2794,1.9483,nan,2.0829,0.5132,0.0452,0.6842,nan
20,20,3.9756,1.5066,0.1006,nan,0.4500,0.0489,0.4000,nan
21,20,5.9458,2.1362,nan,nan,0.2750,0.0152,0.0500,nan
22,20,5.5094,2.7442,0.9120,nan,0.3125,0.0152,0.4000,nan
23,20,6.4631,4.2234,nan,0.3174,0.2875,0.0155,0.0000,nan
24,20,9.1331,5.9592,nan,nan,0.2125,0.0114,0.2000,nan
25,20,3.4477,0.9372,0.3198,nan,0.5625,0.0860,0.7000,nan
26,19,1.3547,0.7727,0.1378,nan,0.7895,0.1920,0.4737,nan
27,20,1.8290,0.9206,0.1882,nan,0.7750,0.1884,0.5500,nan
28,20,5.5592,2.6839,nan,nan,0.3125,0.0155,0.0000,nan
29,20,4.3424,1.1604,0.4726,nan,0.4625,0.0373,0.6000,nan
30,20,4.5563,1.7760,0.5825,nan,0.4000,0.0347,0.4500,nan
31,20,4.1459,2.1621,0.2874,nan,0.4125,0.0253,0.5500,nan
32,20,7.0201,3.1994,0.2480,nan,0.2750,0.0103,0.4000,nan
33,20,9.5507,5.2967,nan,nan,0.0875,0.0039,0.0000,nan
34,20,6.8938,5.4197,0.9225,nan,0.2500,0.0184,0.2500,nan
35,20,8.7268,6.5307,nan,0.2375,0.1500,0.0056,0.2500,nan
36,20,2.9397,1.5484,nan,nan,0.5125,0.0477,0.3500,nan
37,19,1.1548,0.2714,0.1175,nan,0.9342,0.5272,0.8421,nan
38,17,1.6626,0.7149,nan,nan,0.7941,0.1710,0.5882,nan
39,15,2.4636,0.9771,nan,0.2311,0.6000,0.0000,0.5333,nan
40,20,0.5330,0.1422,0.1390,nan,1.0000,0.5242,0.8500,nan
41,15,1.2799,0.3357,nan,nan,0.8333,0.0000,1.0000,nan
42,20,4.1598,2.0200,nan,nan,0.4000,0.0282,0.1000,nan
